neighbourhood_cleansed,room_type,accommodates,bedrooms,beds,bathrooms,minimum_nights,maximum_nights,total_reviews_historicas,total_clicks_acumulados,price
universidad,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,-0.4462663485364962,-0.2417372188929115,-0.3362150483793528,5.19295685089021,0,4.454347296253507
berruguete,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,-0.4462663485364962,-0.3015019543862225,1.5659401123694134,4.6443908991413725,0,3.8501476017100584
cruz de humilladero,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,-0.4462663485364962,-0.2417372188929115,-1.212207556618916,4.406719247264253,0,3.6375861597263857
rosas,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,-0.4462663485364962,-0.3015019543862225,-1.1746650205515063,4.564348191467836,0,3.6109179126442243
ibiza,0,-1.295454281148449,-1.4973974472280942,-0.7425711525133675,-0.4462663485364962,-0.2417372188929115,1.5659401123694134,5.442417710521793,0,4.143134726391533
valdezarza,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,-0.4462663485364962,-0.3015019543862225,-0.3362150483793528,0.6931471805599453,0,3.367295829986474
centro,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,1.0223571970034204,-0.2417372188929115,-1.0995799484166866,1.0986122886681098,0,4.248495242049359
palacio,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,-0.4462663485364962,-0.12220774790628951,-0.3362150483793528,2.302585092994046,0,3.912023005428146
san juan bautista,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,1.0223571970034204,-0.1819724833996005,-1.2322302425215348,2.4849066497880004,0,4.248495242049359
bellas vistas,2,-1.295454281148449,2.5671581341633845,1.1011467639991472,-0.4462663485364962,-0.0026782769196674904,-0.3362150483793528,0.6931471805599453,0,2.8903717578961645
carretera de cadiz,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,0.2880454242334622,3.224617439719127,1.5659401123694134,0.6931471805599453,0,3.2188758248682006
estrella,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,1.0223571970034204,1.4914401104131076,-0.3362150483793528,0.0,0,3.332204510175204
rios rosas,0,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,-0.4462663485364962,-0.2417372188929115,-0.3362150483793528,3.4965075614664802,0,4.3694478524670215
justicia,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,-0.4462663485364962,-0.0624430124129785,1.5659401123694134,1.3862943611198906,0,3.8918202981106265
peñagrande,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,-0.4462663485364962,0.47543960702682053,-1.149636663173233,3.784189633918261,0,2.995732273553991
hispanoamérica,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,-1.1805781213064546,-0.3015019543862225,-0.3362150483793528,3.871201010907891,0,3.871201010907891
centro,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,-0.4462663485364962,-0.2417372188929115,-1.212207556618916,2.3978952727983707,0,4.219507705176107
embajadores,2,-1.295454281148449,-0.48125855188022465,-0.7425711525133675,0.2880454242334622,-0.3015019543862225,-0.3362150483793528,3.1780538303479458,0,4.060443010546419
centro,0,-1.295454281148449,-1.4973974472280942,-0.12799851367586254,-0.4462663485364962,-0.3015019543862225,1.5659401123694134,3.4339872044851463,0,4.276666119016055
